OPE ID,School,State,Zip Code,School Type,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements
00106300, UNIVERSITY OF ALASKA FAIRBANKS                                         , AK ,997757500,Public," 1,571 "," 1,592 "," $6,430,086.00 "," 1,590 "," $3,261,153.00 "
00106500, UNIVERSITY OF ALASKA SOUTHEAST                                         , AK ,998018680,Public, 404 , 416 ," $1,580,863.00 ", 415 ," $822,205.00 "
00107000, THUNDERBIRD SCHOOL OF GLOBAL MANAGEMENT                                , AZ ,853066000,Private-Nonprofit, -   , -   , $-   , -   , $-   
00107100, ARIZONA WESTERN COLLEGE                                                , AZ ,853658847,Public, 293 , 299 ," $862,264.00 ", 299 ," $546,774.00 "
00107200, COCHISE COLLEGE                                                        , AZ ,856076190,Public, 238 , 243 ," $847,160.00 ", 243 ," $445,499.00 "
00107400, GRAND CANYON UNIVERSITY                                                , AZ ,850173030,Proprietary," 16,185 "," 16,246 "," $65,441,610.00 "," 17,561 "," $35,847,413.00 "
00107600, GLENDALE COMMUNITY COLLEGE                                             , AZ ,853023090,Public," 3,457 "," 3,481 "," $10,560,374.00 "," 3,528 "," $6,295,020.00 "
00107700, MESA COMMUNITY COLLEGE                                                 , AZ ,852024866,Public," 4,691 "," 4,694 "," $14,068,604.00 "," 4,673 "," $8,465,057.00 "
00107800, PHOENIX COLLEGE                                                        , AZ ,850134234,Public," 3,098 "," 3,114 "," $9,190,530.00 "," 3,141 "," $5,641,800.00 "
00107900, YAVAPAI COLLEGE                                                        , AZ ,863013297,Public," 1,168 "," 1,433 "," $3,766,948.00 "," 1,448 "," $2,107,523.00 "
00108100, ARIZONA STATE UNIVERSITY                                               , AZ ,852870412,Public," 26,172 "," 26,798 "," $116,289,734.00 "," 26,453 "," $58,881,948.00 "
00108200, NORTHERN ARIZONA UNIVERSITY                                            , AZ ,860110001,Public," 9,483 "," 9,502 "," $39,805,137.00 "," 9,569 "," $20,448,287.00 "
00108300, UNIVERSITY OF ARIZONA (THE)                                            , AZ ,857210066,Public," 10,256 "," 10,597 "," $43,511,492.00 "," 10,350 "," $22,267,153.00 "
00108500, UNIVERSITY OF ARKANSAS AT MONTICELLO                                   , AR ,716560000,Public," 1,518 "," 1,527 "," $5,074,120.00 "," 1,680 "," $3,021,139.00 "
00108600, UNIVERSITY OF ARKANSAS AT PINE BLUFF                                   , AR ,716012790,Public," 1,484 "," 1,494 "," $5,720,741.00 "," 1,509 "," $3,005,486.00 "
00108700, ARKANSAS BAPTIST COLLEGE                                               , AR ,722026099,Private-Nonprofit, 738 , 738 ," $2,851,455.00 ", 740 ," $1,432,479.00 "
00108800, LYON COLLEGE                                                           , AR ,725013699,Private-Nonprofit, 296 , 296 ," $1,217,879.00 ", 296 ," $619,951.00 "
00108900, ARKANSAS TECH UNIVERSITY                                               , AR ,728012222,Public," 3,801 "," 3,948 "," $14,476,058.00 "," 4,191 "," $7,805,437.00 "
00109000, ARKANSAS STATE UNIVERSITY                                              , AR ,724010000,Public," 4,933 "," 4,951 "," $19,934,466.00 "," 4,951 "," $10,635,507.00 "
00109100, ARKANSAS STATE UNIVERSITY - BEEBE                                      , AR ,720121000,Public, 394 , 394 ," $1,275,940.00 ", 784 ," $692,166.00 "
00109200, UNIVERSITY OF CENTRAL ARKANSAS                                         , AR ,720350001,Public," 3,729 "," 3,860 "," $13,879,063.00 "," 3,860 "," $7,493,199.00 "
00109300, CENTRAL BAPTIST COLLEGE                                                , AR ,720346470,Private-Nonprofit, 407 , 407 ," $1,643,208.00 ", 421 ," $849,266.00 "
00109400, UNIVERSITY OF THE OZARKS                                               , AR ,728302880,Private-Nonprofit, 238 , 239 ," $955,227.00 ", 271 ," $511,994.00 "
00109500, CROWLEY'S RIDGE COLLEGE                                                , AR ,724509775,Private-Nonprofit, 87 , 87 ," $294,955.00 ", 87 ," $162,974.00 "
00109700, HARDING UNIVERSITY                                                     , AR ,721490001,Private-Nonprofit," 1,789 "," 1,790 "," $7,326,273.00 "," 1,787 "," $4,048,340.00 "
00109800, HENDERSON STATE UNIVERSITY                                             , AR ,719990001,Public," 1,490 "," 1,506 "," $5,709,875.00 "," 1,568 "," $3,132,601.00 "
00109900, HENDRIX COLLEGE                                                        , AR ,720323080,Private-Nonprofit, 442 , 443 ," $1,854,893.00 ", 443 ," $951,334.00 "
00110000, JOHN BROWN UNIVERSITY                                                  , AR ,727612747,Private-Nonprofit, 874 , 874 ," $3,782,358.00 ", 874 ," $1,994,948.00 "
00110100, UNIVERSITY OF ARKANSAS AT LITTLE ROCK                                  , AR ,722041099,Public," 3,896 "," 3,962 "," $14,955,331.00 "," 3,964 "," $8,240,985.00 "
00110200, OUACHITA BAPTIST UNIVERSITY                                            , AR ,719980001,Private-Nonprofit, 476 , 479 ," $1,963,367.00 ", 493 ," $1,028,260.00 "
00110300, PHILANDER SMITH COLLEGE                                                , AR ,722023718,Private-Nonprofit, 403 , 405 ," $1,733,295.00 ", 411 ," $889,248.00 "
00110400, PHILLIPS COMMUNITY COLLEGE OF THE UNIVERSITY OF ARKANSAS               , AR ,723420000,Public, 37 , 37 ," $107,247.00 ", 49 ," $74,497.00 "
00110500, SHORTER COLLEGE                                                        , AR ,721144885,Private-Nonprofit, 303 , 305 ," $998,788.00 ", 340 ," $534,211.00 "
00110600, WILLIAMS BAPTIST COLLEGE                                               , AR ,724764661,Private-Nonprofit, 275 , 276 ," $1,050,674.00 ", 276 ," $577,051.00 "
00110700, SOUTHERN ARKANSAS UNIVERSITY                                           , AR ,717535000,Public," 1,092 "," 1,153 "," $4,066,027.00 "," 1,275 "," $2,217,683.00 "
00110800, UNIVERSITY OF ARKANSAS                                                 , AR ,727010000,Public," 6,002 "," 6,296 "," $24,481,746.00 "," 6,232 "," $12,847,624.00 "
00110900, UNIVERSITY OF ARKANSAS FOR MEDICAL SCIENCES                            , AR ,722057102,Public, 352 , 352 ," $1,535,129.00 ", 352 ," $828,600.00 "
00111000, UNIVERSITY OF ARKANSAS AT FORT SMITH                                   , AR ,729047397,Public," 2,206 "," 2,270 "," $8,732,543.00 "," 2,270 "," $4,490,138.00 "
00111100, ALLAN HANCOCK COLLEGE                                                  , CA ,934546399,Public, 143 , 143 ," $517,076.00 ", 147 ," $265,048.00 "
00111300, ANTELOPE VALLEY COLLEGE                                                , CA ,935365426,Public," 1,800 "," 1,811 "," $6,850,374.00 "," 1,820 "," $3,453,946.00 "
00111600, ART CENTER COLLEGE OF DESIGN                                           , CA ,911031999,Private-Nonprofit, 757 , 757 ," $2,760,112.00 ", 757 ," $1,686,422.00 "
00111700, AZUSA PACIFIC UNIVERSITY                                               , CA ,917027000,Private-Nonprofit," 3,757 "," 4,198 "," $16,320,568.00 "," 4,183 "," $8,655,496.00 "
00111800, BAKERSFIELD COLLEGE                                                    , CA ,933051299,Public, 465 , 466 ," $1,811,871.00 ", 494 ," $938,521.00 "
00112000, AMERICAN BAPTIST SEMINARY OF THE WEST                                  , CA ,947043029,Private-Nonprofit, -   , -   , $-   , -   , $-   
00112200, BIOLA UNIVERSITY                                                       , CA ,906390001,Private-Nonprofit," 2,326 "," 2,330 "," $10,424,622.00 "," 2,330 "," $5,461,437.00 "
00112300, BROOKS INSTITUTE                                                       , CA ,931031809,Proprietary, 171 , 180 ," $648,025.00 ", 206 ," $351,125.00 "
00112400, CABRILLO COLLEGE                                                       , CA ,950033194,Public, 330 , 330 ," $1,244,821.00 ", 359 ," $666,900.00 "
00112500, CALIFORNIA BAPTIST UNIVERSITY                                          , CA ,925043297,Private-Nonprofit," 3,971 "," 4,143 "," $17,001,556.00 "," 4,130 "," $9,041,762.00 "
00112700, CALIFORNIA COLLEGE OF THE ARTS                                         , CA ,941072206,Private-Nonprofit, 670 , 673 ," $2,984,616.00 ", 672 ," $1,554,173.00 "
00113100, CALIFORNIA INSTITUTE OF TECHNOLOGY                                     , CA ,911250001,Private-Nonprofit, 16 , 17 ," $28,582.00 ", 17 ," $9,531.00 "
00113200, CALIFORNIA INSTITUTE OF THE ARTS                                       , CA ,913552397,Private-Nonprofit, 564 , 565 ," $2,583,767.00 ", 565 ," $1,315,058.00 "
00113300, CALIFORNIA LUTHERAN UNIVERSITY                                         , CA ,913602787,Private-Nonprofit," 1,487 "," 1,489 "," $6,825,121.00 "," 1,609 "," $3,517,575.00 "
00113400, CALIFORNIA MARITIME ACADEMY                                            , CA ,945908181,Public, 508 , 511 ," $2,224,523.00 ", 509 ," $1,130,411.00 "
00113700," CALIFORNIA STATE UNIVERSITY, FULLERTON                                 ", CA ,928313599,Public," 9,098 "," 9,307 "," $38,173,283.00 "," 9,234 "," $19,669,169.00 "
00113800," CALIFORNIA STATE UNIVERSITY, EAST BAY                                  ", CA ,945423000,Public," 3,062 "," 3,109 "," $12,877,382.00 "," 3,014 "," $4,404,985.00 "
00113900," CALIFORNIA STATE UNIVERSITY, LONG BEACH                                ", CA ,908400006,Public," 10,404 "," 10,517 "," $44,368,228.00 "," 10,379 "," $22,539,681.00 "
00114000," CALIFORNIA STATE UNIVERSITY, LOS ANGELES                               ", CA ,900324226,Public," 6,575 "," 6,822 "," $27,595,297.00 "," 11,968 "," $17,331,019.00 "
00114100," CALIFORNIA STATE UNIVERSITY, DOMINGUEZ HILLS                           ", CA ,907470001,Public," 4,316 "," 4,422 "," $18,076,800.00 "," 4,400 "," $9,460,715.00 "
00114200," CALIFORNIA STATE UNIVERSITY, SAN BERNARDINO                            ", CA ,924072397,Public," 6,634 "," 6,779 "," $27,710,140.00 "," 12,146 "," $17,530,220.00 "
00114300, CALIFORNIA POLYTECHNIC STATE UNIVERSITY                                , CA ,934070001,Public," 4,842 "," 4,860 "," $20,158,594.00 "," 9,111 "," $13,212,686.00 "
00114400," CALIFORNIA STATE POLYTECHNIC UNIVERSITY, POMONA                        ", CA ,917682500,Public," 7,005 "," 7,030 "," $30,953,151.00 "," 6,851 "," $10,311,510.00 "
00114600," CALIFORNIA STATE UNIVERSITY, CHICO                                     ", CA ,959290001,Public," 5,802 "," 6,493 "," $24,383,653.00 "," 6,423 "," $12,711,061.00 "
00114700," CALIFORNIA STATE UNIVERSITY, FRESNO                                    ", CA ,937408026,Public," 6,029 "," 6,213 "," $25,479,896.00 "," 6,160 "," $13,009,682.00 "
00114900, HUMBOLDT STATE UNIVERSITY                                              , CA ,955218299,Public," 3,913 "," 3,956 "," $16,643,771.00 "," 4,007 "," $8,645,858.00 "
00115000, CALIFORNIA STATE UNIVERSITY - SACRAMENTO                               , CA ,958196044,Public," 9,051 "," 9,085 "," $38,472,010.00 "," 9,141 "," $20,622,854.00 "
00115100, SAN DIEGO STATE UNIVERSITY                                             , CA ,921821690,Public," 7,529 "," 8,124 "," $31,293,290.00 "," 8,153 "," $16,084,047.00 "
00115300," CALIFORNIA STATE UNIVERSITY, NORTHRIDGE                                ", CA ,913308307,Public," 10,386 "," 10,457 "," $44,035,914.00 "," 10,451 "," $23,022,947.00 "
00115400, SAN FRANCISCO STATE UNIVERSITY                                         , CA ,941321740,Public," 8,610 "," 8,610 "," $38,103,863.00 "," 8,711 "," $19,536,795.00 "
00115500, SAN JOSE STATE UNIVERSITY                                              , CA ,951920036,Public," 7,864 "," 8,089 "," $32,103,720.00 "," 8,024 "," $16,791,303.00 "
00115600, SONOMA STATE UNIVERSITY                                                , CA ,949283609,Public," 2,790 "," 2,802 "," $11,729,890.00 "," 2,796 "," $6,128,131.00 "
00115700," CALIFORNIA STATE UNIVERSITY, STANISLAUS                                ", CA ,953820299,Public," 2,772 "," 2,859 "," $11,236,150.00 "," 2,810 "," $5,992,687.00 "
00116100, CERRITOS COMMUNITY COLLEGE                                             , CA ,906506296,Public, 711 , 711 ," $2,727,895.00 ", 671 ," $1,302,395.00 "
00116200, CHABOT COLLEGE                                                         , CA ,945452400,Public, 152 , 152 ," $562,742.00 ", 163 ," $297,482.00 "
00116400, CHAPMAN UNIVERSITY                                                     , CA ,928661099,Private-Nonprofit," 2,425 "," 2,425 "," $11,071,422.00 "," 2,425 "," $5,617,849.00 "
00116500, CHURCH DIVINITY SCHOOL OF THE PACIFIC                                  , CA ,947091217,Private-Nonprofit, -   , -   , $-   , -   , $-   
00116600, CITRUS COMMUNITY COLLEGE                                               , CA ,917411899,Public, 230 , 230 ," $832,180.00 ", 275 ," $483,998.00 "
00116900, CLAREMONT GRADUATE UNIVERSITY                                          , CA ,917116163,Private-Nonprofit, -   , -   , $-   , -   , $-   
00117000, CLAREMONT MCKENNA COLLEGE                                              , CA ,917116400,Private-Nonprofit, 57 , 57 ," $203,031.00 ", 57 ," $102,753.00 "
00117100, HARVEY MUDD COLLEGE                                                    , CA ,917115990,Private-Nonprofit, 255 , 255 ," $1,093,598.00 ", 255 ," $551,256.00 "
00117200, PITZER COLLEGE                                                         , CA ,917116101,Private-Nonprofit, 281 , 285 ," $1,104,321.00 ", 285 ," $572,586.00 "
00117300, POMONA COLLEGE                                                         , CA ,917116301,Private-Nonprofit, 54 , 54 ," $145,706.00 ", 54 ," $72,854.00 "
00117400, SCRIPPS COLLEGE                                                        , CA ,917113948,Private-Nonprofit, 198 , 198 ," $700,697.00 ", 198 ," $351,723.00 "
00117600, WEST HILLS COMMUNITY COLLEGE                                           , CA ,932101399,Public, 161 , 161 ," $565,332.00 ", 209 ," $351,565.00 "
00117700, COGSWELL POLYTECHNICAL COLLEGE                                         , CA ,940891210,Proprietary, 187 , 187 ," $700,877.00 ", 185 ," $365,579.00 "
00117800, COLLEGE OF MARIN                                                       , CA ,949042590,Public, 519 , 531 ," $1,987,380.00 ", 539 ," $995,775.00 "
00117900, NOTRE DAME DE NAMUR UNIVERSITY                                         , CA ,940021997,Private-Nonprofit, 869 , 872 ," $4,012,666.00 ", 870 ," $2,066,117.00 "
00118100, COLLEGE OF SAN MATEO                                                   , CA ,944023784,Public, 55 , 55 ," $209,131.00 ", 56 ," $106,674.00 "
00118300, HOLY NAMES UNIVERSITY                                                  , CA ,946191699,Private-Nonprofit, 493 , 496 ," $2,123,857.00 ", 496 ," $1,092,467.00 "
00118500, COLLEGE OF THE REDWOODS                                                , CA ,955019300,Public, 148 , 148 ," $540,423.00 ", 160 ," $292,164.00 "
00118600, COLLEGE OF THE SEQUOIAS                                                , CA ,932772234,Public, 174 , 174 ," $483,698.00 ", 254 ," $317,000.00 "
00118700, COLLEGE OF THE SISKIYOUS                                               , CA ,960942899,Public, 299 , 300 ," $1,132,792.00 ", 308 ," $582,297.00 "
00119000, CONTRA COSTA COLLEGE                                                   , CA ,948063195,Public, 77 , 77 ," $301,635.00 ", 78 ," $153,818.00 "
00119100, DIABLO VALLEY COLLEGE                                                  , CA ,945231544,Public, 202 , 202 ," $730,932.00 ", 203 ," $398,548.00 "
00119200, CUESTA COLLEGE                                                         , CA ,934038106,Public, 334 , 335 ," $1,198,671.00 ", 346 ," $607,017.00 "
00119300, CYPRESS COLLEGE                                                        , CA ,906305897,Public, 278 , 279 ," $1,036,734.00 ", 295 ," $537,716.00 "
00119600, DOMINICAN UNIVERSITY OF CALIFORNIA                                     , CA ,949012298,Private-Nonprofit, 970 , 978 ," $4,380,053.00 ", 973 ," $2,232,954.00 "
00119900, FOOTHILL COLLEGE                                                       , CA ,940224597,Public, 511 , 522 ," $1,875,974.00 ", 717 ," $851,950.00 "
00120000, FULLER THEOLOGICAL SEMINARY                                            , CA ,911820002,Private-Nonprofit, -   , -   , $-   , -   , $-   
00120100, FULLERTON COLLEGE                                                      , CA ,928322095,Public, 475 , 487 ," $1,634,157.00 ", 526 ," $859,086.00 "
00120200, GAVILAN COLLEGE                                                        , CA ,950209599,Public, 75 , 76 ," $243,909.00 ", 85 ," $144,363.00 "
00120300, GLENDALE COMMUNITY COLLEGE                                             , CA ,912082894,Public, 345 , 348 ," $1,287,287.00 ", 332 ," $635,089.00 "
00120500, GOLDEN GATE UNIVERSITY                                                 , CA ,941052967,Private-Nonprofit, 152 , 152 ," $611,012.00 ", 150 ," $356,293.00 "
00120600, GOLDEN WEST COLLEGE                                                    , CA ,926472748,Public, 203 , 205 ," $701,609.00 ", 366 ," $388,374.00 "
00120700, GRADUATE THEOLOGICAL UNION                                             , CA ,947091212,Private-Nonprofit, -   , -   , $-   , -   , $-   
00120800, GROSSMONT COLLEGE                                                      , CA ,920201799,Public, 187 , 187 ," $626,478.00 ", 228 ," $349,625.00 "
00121200, HUMPHREYS COLLEGE                                                      , CA ,952073896,Private-Nonprofit, 484 , 491 ," $1,527,014.00 ", 657 ," $912,437.00 "
00121500, LA SIERRA UNIVERSITY                                                   , CA ,925153332,Private-Nonprofit," 1,199 "," 1,212 "," $5,080,536.00 "," 1,236 "," $1,745,944.00 "
00121600, UNIVERSITY OF LA VERNE                                                 , CA ,917504443,Private-Nonprofit," 3,327 "," 3,529 "," $15,396,630.00 "," 3,529 "," $7,244,732.00 "
00121700, LASSEN COLLEGE                                                         , CA ,961303000,Public, 82 , 82 ," $281,557.00 ", 164 ," $146,625.00 "
00121800, LOMA LINDA UNIVERSITY                                                  , CA ,923500001,Private-Nonprofit, 609 , 632 ," $2,899,889.00 ", 774 ," $1,275,656.00 "
00121900, LONG BEACH CITY COLLEGE                                                , CA ,908081780,Public, 752 , 752 ," $2,735,830.00 ", 769 ," $1,364,041.00 "
00122000, MASTER'S COLLEGE AND SEMINARY                                          , CA ,913211200,Private-Nonprofit, 605 , 606 ," $2,654,455.00 ", 668 ," $1,399,350.00 "
00122300, LOS ANGELES CITY COLLEGE                                               , CA ,900293588,Public, 739 , 742 ," $2,800,625.00 ", 746 ," $1,406,190.00 "
00122400, LOS ANGELES HARBOR COLLEGE                                             , CA ,907442397,Public, 91 , 91 ," $305,350.00 ", 99 ," $167,725.00 "
00122600, LOS ANGELES PIERCE COLLEGE                                             , CA ,913710001,Public, 629 , 629 ," $2,432,872.00 ", 621 ," $1,217,719.00 "
00122700, LOS ANGELES TRADE-TECHNICAL COLLEGE                                    , CA ,900154181,Public, 517 , 517 ," $1,999,070.00 ", 432 ," $828,760.00 "
00122800, LOS ANGELES VALLEY COLLEGE                                             , CA ,914014096,Public, 405 , 405 ," $1,606,000.00 ", 426 ," $835,750.00 "
00122900, SOUTHERN CALIFORNIA UNIVERSITY OF HEALTH SCIENCES                      , CA ,906044051,Private-Nonprofit, 2 , 2 ," $3,115.00 ", 2 ," $3,115.00 "
00123000, MARSHALL B. KETCHUM UNIVERSITY                                         , CA ,928311699,Private-Nonprofit, -   , -   , $-   , -   , $-   
00123200, AMERICAN RIVER COLLEGE                                                 , CA ,958414286,Public," 1,411 "," 1,458 "," $5,092,322.00 "," 1,530 "," $2,647,025.00 "
00123300, SACRAMENTO CITY COLLEGE                                                , CA ,958221386,Public, 824 , 831 ," $3,219,572.00 ", 871 ," $1,690,768.00 "
00123600, MENLO COLLEGE                                                          , CA ,940274301,Private-Nonprofit, 347 , 351 ," $1,609,824.00 ", 351 ," $819,192.00 "
00123800, MILLS COLLEGE                                                          , CA ,946131301,Private-Nonprofit, 704 , 710 ," $3,083,995.00 ", 709 ," $1,641,735.00 "
00123900, MIRACOSTA COLLEGE                                                      , CA ,920563899,Public, 105 , 105 ," $344,333.00 ", 108 ," $185,928.00 "
00124200, MONTEREY PENINSULA COLLEGE                                             , CA ,939404799,Public, 164 , 164 ," $599,728.00 ", 325 ," $318,997.00 "
00124300, MOUNT SAINT MARY'S COLLEGE                                             , CA ,900491599,Private-Nonprofit," 1,813 "," 1,831 "," $7,669,520.00 "," 1,831 "," $3,837,894.00 "
00124500, MOUNT SAN ANTONIO COLLEGE                                              , CA ,917891399,Public, 215 , 215 ," $754,458.00 ", 429 ," $402,257.00 "
00124700, NAPA VALLEY COLLEGE                                                    , CA ,945586236,Public, 71 , 71 ," $265,167.00 ", 77 ," $142,896.00 "
00124900, OCCIDENTAL COLLEGE                                                     , CA ,900413314,Private-Nonprofit, 780 , 786 ," $3,515,665.00 ", 783 ," $1,785,191.00 "
00125000, ORANGE COAST COLLEGE                                                   , CA ,926285005,Public, 286 , 294 ," $1,000,327.00 ", 558 ," $538,076.00 "
00125100, OTIS COLLEGE OF ART AND DESIGN                                         , CA ,900453505,Private-Nonprofit, 600 , 601 ," $2,823,047.00 ", 601 ," $1,407,005.00 "
00125200, HOPE INTERNATIONAL UNIVERSITY                                          , CA ,928313104,Private-Nonprofit, 382 , 385 ," $1,639,501.00 ", 385 ," $855,140.00 "
00125300, FRESNO PACIFIC UNIVERSITY                                              , CA ,937024798,Private-Nonprofit," 1,542 "," 1,558 "," $6,420,185.00 "," 1,558 "," $3,734,806.00 "
00125400, PACIFIC LUTHERAN THEOLOGICAL SEMINARY                                  , CA ,947081597,Private-Nonprofit, -   , -   , $-   , -   , $-   
00125500, PACIFIC OAKS COLLEGE                                                   , CA ,911033606,Private-Nonprofit, 251 , 251 ," $1,187,306.00 ", 331 ," $691,377.00 "
00125600, PACIFIC SCHOOL OF RELIGION                                             , CA ,947091323,Private-Nonprofit, -   , -   , $-   , -   , $-   
00125800, PACIFIC UNION COLLEGE                                                  , CA ,945089797,Private-Nonprofit, 851 , 851 ," $3,728,914.00 ", 851 ," $1,305,266.00 "
00126000, PALOMAR COLLEGE                                                        , CA ,920691486,Public, 245 , 248 ," $904,308.00 ", 250 ," $455,363.00 "
00126100, PASADENA CITY COLLEGE                                                  , CA ,911062003,Public, 175 , 177 ," $585,700.00 ", 214 ," $358,204.00 "
00126200, POINT LOMA NAZARENE UNIVERSITY                                         , CA ,921062899,Private-Nonprofit," 1,327 "," 1,337 "," $5,942,195.00 "," 1,337 "," $3,088,503.00 "
00126600, LANEY COLLEGE                                                          , CA ,946074893,Public, 160 , 160 ," $621,558.00 ", 181 ," $351,561.00 "
00126700, MERRITT COLLEGE                                                        , CA ,946193196,Public, 249 , 249 ," $987,483.00 ", 249 ," $502,949.00 "
00126900, RIO HONDO COMMUNITY COLLEGE                                            , CA ,906011699,Public, 93 , 93 ," $334,444.00 ", 185 ," $178,658.00 "
00127000, RIVERSIDE CITY COLLEGE                                                 , CA ,925061299,Public, 300 , 300 ," $1,016,185.00 ", 301 ," $568,002.00 "
