,,,,, DL SUBSIDIZED ,,,,, DL UNSUBSIDIZED- UNDERGRADUATE ,,,,, DL UNSUBSIDIZED- GRADUATE ,,,,, DL PARENT PLUS ,,,,,DL GRAD PLUS,,,,
00102300, JUDSON COLLEGE                                                         , AL ,367562504,Private-Nonprofit, 217 , 217 ," $902,738.00 ", 226 ," $452,790.00 ", 226 , 239 ," $885,750.00 ", 253 ," $456,009.00 ", -   , -   , $-   , -   , $-   , 39 , 39 ," $325,464.00 ", 44 ," $175,621.00 ", -   , -   , $-   , -   , $-   
00102400, UNIVERSITY OF WEST ALABAMA                                             , AL ,354700000,Public," 1,233 "," 1,234 "," $4,905,034.00 "," 1,315 "," $2,516,620.00 "," 1,221 "," 1,514 "," $5,365,184.00 "," 1,599 "," $2,759,758.00 "," 1,986 "," 1,987 "," $34,266,901.00 "," 3,202 "," $13,770,304.00 ", 148 , 149 ," $1,789,783.00 ", 150 ," $947,121.00 ", -   , -   , $-   , -   , $-   
00102600, MARION MILITARY INSTITUTE                                              , AL ,367563214,Public, 158 , 158 ," $503,610.00 ", 169 ," $267,030.00 ", 211 , 211 ," $848,693.00 ", 225 ," $435,478.00 ", -   , -   , $-   , -   , $-   , 16 , 16 ," $120,080.00 ", 17 ," $70,184.00 ", -   , -   , $-   , -   , $-   
00102800, MILES COLLEGE                                                          , AL ,350642697,Private-Nonprofit," 1,437 "," 1,439 "," $5,640,400.00 "," 1,441 "," $2,872,143.00 "," 1,465 "," 2,195 "," $6,724,244.00 "," 2,207 "," $3,453,554.00 ", 3 , 3 ," $21,742.00 ", 3 ," $10,871.00 ", 115 , 117 ," $935,814.00 ", 119 ," $480,311.00 ", -   , -   , $-   , -   , $-   
00102900, UNIVERSITY OF MOBILE                                                   , AL ,366630220,Private-Nonprofit, 898 , 898 ," $3,800,568.00 ", 928 ," $1,919,887.00 ", 996 ," 1,106 "," $4,938,790.00 "," 1,161 "," $2,512,269.00 ", 107 , 107 ," $1,749,103.00 ", 113 ," $938,992.00 ", 110 , 117 ," $1,097,789.00 ", 142 ," $596,283.00 ", -   , -   , $-   , -   , $-   
00103100, NORTHEAST ALABAMA COMMUNITY COLLEGE                                    , AL ,359860159,Public, 288 , 288 ," $660,950.00 ", 440 ," $471,325.00 ", 116 , 116 ," $255,900.00 ", 190 ," $199,075.00 ", -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   
00103300, OAKWOOD UNIVERSITY                                                     , AL ,358960001,Private-Nonprofit," 1,197 "," 1,201 "," $5,302,884.00 "," 1,202 "," $2,661,369.00 "," 1,284 "," 1,315 "," $6,097,267.00 "," 1,316 "," $3,056,384.00 ", 17 , 17 ," $339,220.00 ", 17 ," $169,610.00 ", 131 , 150 ," $2,050,260.00 ", 150 ," $1,045,762.00 ", -   , -   , $-   , -   , $-   
00103600, SAMFORD UNIVERSITY                                                     , AL ,352297000,Private-Nonprofit, 731 , 749 ," $2,961,735.00 ", 753 ," $1,583,408.00 ", 881 , 957 ," $3,613,827.00 ", 963 ," $1,948,409.00 ", 974 ," 1,016 "," $21,216,816.00 "," 1,748 "," $19,829,713.00 ", 335 , 375 ," $6,489,105.00 ", 376 ," $3,397,420.00 ", 646 , 715 ," $12,167,173.00 "," 1,295 "," $11,929,872.00 "
00103800, SNEAD STATE COMMUNITY COLLEGE                                          , AL ,359570734,Public, 547 , 549 ," $1,963,505.00 ", 549 ," $975,458.00 ", 146 , 157 ," $446,694.00 ", 158 ," $222,768.00 ", -   , -   , $-   , -   , $-   , 5 , 5 ," $31,389.00 ", 5 ," $15,695.00 ", -   , -   , $-   , -   , $-   
00104000, SOUTHERN UNION STATE COMMUNITY COLLEGE                                 , AL ,362760000,Public, 900 , 901 ," $2,666,498.00 "," 1,106 "," $1,625,817.00 ", 711 , 725 ," $2,148,782.00 ", 862 ," $1,263,255.00 ", -   , -   , $-   , -   , $-   , 15 , 16 ," $95,599.00 ", 17 ," $51,066.00 ", -   , -   , $-   , -   , $-   
00104100, SPRING HILL COLLEGE                                                    , AL ,366081791,Private-Nonprofit, 692 , 696 ," $2,776,171.00 ", 696 ," $1,443,026.00 ", 790 , 974 ," $3,196,148.00 ", 974 ," $1,657,668.00 ", 45 , 46 ," $737,907.00 ", 46 ," $271,345.00 ", 157 , 171 ," $2,011,124.00 ", 171 ," $1,043,464.00 ", -   , -   , $-   , -   , $-   
00104400, STILLMAN COLLEGE                                                       , AL ,354011430,Private-Nonprofit, 654 , 654 ," $2,706,742.00 ", 656 ," $1,359,344.00 ", 643 , 643 ," $3,163,564.00 ", 645 ," $1,584,873.00 ", 1 , 1 ," $6,000.00 ", 1 ," $3,000.00 ", 93 , 95 ," $871,007.00 ", 95 ," $443,336.00 ", -   , -   , $-   , -   , $-   
00104600, TALLADEGA COLLEGE                                                      , AL ,351602354,Private-Nonprofit, 532 , 532 ," $2,113,321.00 ", 531 ," $1,048,326.00 ", 527 , 630 ," $2,170,410.00 ", 628 ," $1,075,101.00 ", -   , -   , $-   , -   , $-   , 19 , 19 ," $167,882.00 ", 19 ," $83,678.00 ", -   , -   , $-   , -   , $-   
00104700, TROY UNIVERSITY                                                        , AL ,360820001,Public," 7,841 "," 7,876 "," $32,035,224.00 "," 10,208 "," $16,222,999.00 "," 8,095 "," 8,520 "," $43,185,821.00 "," 10,807 "," $21,858,210.00 "," 2,304 "," 2,336 "," $40,983,661.00 "," 3,408 "," $20,453,302.00 ", 297 , 318 ," $2,994,493.00 ", 325 ," $1,628,184.00 ", 50 , 53 ," $533,243.00 ", 77 ," $274,820.00 "
00105000, TUSKEGEE UNIVERSITY                                                    , AL ,360881645,Private-Nonprofit," 1,757 "," 1,773 "," $7,657,059.00 "," 1,771 "," $3,874,599.00 "," 1,781 "," 2,425 "," $7,790,026.00 "," 2,421 "," $3,970,962.00 ", 335 , 340 ," $11,319,443.00 ", 340 ," $5,684,119.00 ", 374 , 417 ," $6,383,395.00 ", 417 ," $3,439,918.00 ", 193 , 227 ," $3,964,907.00 ", 228 ," $2,090,170.00 "
00105100, UNIVERSITY OF ALABAMA                                                  , AL ,354870120,Public," 9,377 "," 9,536 "," $39,649,031.00 "," 16,858 "," $36,483,046.00 "," 10,585 "," 11,706 "," $42,212,728.00 "," 20,867 "," $38,883,603.00 "," 2,071 "," 2,207 "," $33,555,961.00 "," 3,838 "," $31,455,684.00 "," 2,001 "," 2,161 "," $46,424,887.00 "," 3,912 "," $44,775,470.00 ", 245 , 264 ," $3,743,881.00 ", 457 ," $3,636,160.00 "
00105200, UNIVERSITY OF ALABAMA AT BIRMINGHAM                                    , AL ,352941150,Public," 4,869 "," 4,888 "," $21,004,620.00 "," 4,884 "," $10,362,611.00 "," 5,052 "," 5,380 "," $23,289,865.00 "," 5,369 "," $11,535,124.00 "," 3,038 "," 3,070 "," $69,804,757.00 "," 3,184 "," $34,532,001.00 ", 398 , 410 ," $4,772,357.00 ", 410 ," $2,413,806.00 ", 464 , 471 ," $8,040,618.00 ", 495 ," $3,523,032.00 "
00105500, UNIVERSITY OF ALABAMA IN HUNTSVILLE                                    , AL ,358990001,Public," 2,124 "," 2,183 "," $8,899,077.00 "," 2,181 "," $4,842,888.00 "," 2,126 "," 2,277 "," $9,902,073.00 "," 2,266 "," $5,384,913.00 ", 318 , 353 ," $4,382,262.00 ", 353 ," $2,568,017.00 ", 150 , 158 ," $1,733,487.00 ", 158 ," $947,032.00 ", 11 , 11 ," $79,593.00 ", 11 ," $44,345.00 "
00105700, UNIVERSITY OF SOUTH ALABAMA                                            , AL ,366880002,Public," 5,251 "," 5,321 "," $20,463,229.00 "," 5,317 "," $11,184,464.00 "," 5,378 "," 6,109 "," $24,432,950.00 "," 6,098 "," $13,351,383.00 "," 2,019 "," 2,077 "," $37,283,555.00 "," 2,075 "," $19,655,581.00 "," 1,017 "," 1,069 "," $11,018,546.00 "," 1,068 "," $5,814,537.00 ", 456 , 466 ," $2,352,748.00 ", 453 ," $1,045,535.00 "
00106000, JAMES H. FAULKNER STATE COMMUNITY COLLEGE                              , AL ,365072698,Public," 1,235 "," 1,235 "," $4,091,161.00 "," 1,251 "," $2,128,252.00 "," 1,212 "," 1,212 "," $4,105,244.00 "," 1,227 "," $2,110,702.00 ", -   , -   , $-   , -   , $-   , 24 , 25 ," $116,405.00 ", 25 ," $56,956.00 ", -   , -   , $-   , -   , $-   
00106100, ALASKA PACIFIC UNIVERSITY                                              , AK ,995084672,Private-Nonprofit, 155 , 156 ," $692,080.00 ", 169 ," $361,578.00 ", 160 , 174 ," $824,356.00 ", 189 ," $424,478.00 ", 97 , 98 ," $1,586,456.00 ", 120 ," $844,619.00 ", 19 , 19 ," $334,135.00 ", 20 ," $174,800.00 ", 5 , 5 ," $43,380.00 ", 6 ," $24,040.00 "
00106300, UNIVERSITY OF ALASKA FAIRBANKS                                         , AK ,997757500,Public," 1,571 "," 1,592 "," $6,430,086.00 "," 1,590 "," $3,261,153.00 "," 1,555 "," 1,634 "," $8,352,822.00 "," 1,625 "," $4,193,063.00 ", 190 , 209 ," $2,964,968.00 ", 209 ," $1,537,767.00 ", 161 , 174 ," $1,948,202.00 ", 174 ," $990,754.00 ", 1 , 1 ," $8,000.00 ", 1 ," $4,000.00 "
00106500, UNIVERSITY OF ALASKA SOUTHEAST                                         , AK ,998018680,Public, 404 , 416 ," $1,580,863.00 ", 415 ," $822,205.00 ", 412 , 450 ," $2,227,294.00 ", 449 ," $1,162,799.00 ", 88 , 97 ," $1,156,337.00 ", 97 ," $623,568.00 ", 33 , 35 ," $427,573.00 ", 35 ," $216,626.00 ", 5 , 5 ," $24,541.00 ", 5 ," $12,271.00 "
00107000, THUNDERBIRD SCHOOL OF GLOBAL MANAGEMENT                                , AZ ,853066000,Private-Nonprofit, -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   , 242 , 268 ," $3,643,719.00 ", 279 ," $2,944,451.00 ", -   , -   , $-   , -   , $-   , 129 , 179 ," $2,645,255.00 ", 221 ," $1,763,740.00 "
00107100, ARIZONA WESTERN COLLEGE                                                , AZ ,853658847,Public, 293 , 299 ," $862,264.00 ", 299 ," $546,774.00 ", 169 , 170 ," $464,973.00 ", 170 ," $293,488.00 ", -   , -   , $-   , -   , $-   , 3 , 3 ," $21,000.00 ", 3 ," $10,500.00 ", -   , -   , $-   , -   , $-   
00107200, COCHISE COLLEGE                                                        , AZ ,856076190,Public, 238 , 243 ," $847,160.00 ", 243 ," $445,499.00 ", 179 , 185 ," $730,073.00 ", 185 ," $384,365.00 ", -   , -   , $-   , -   , $-   , 3 , 3 ," $29,797.00 ", 3 ," $14,899.00 ", -   , -   , $-   , -   , $-   
00107400, GRAND CANYON UNIVERSITY                                                , AZ ,850173030,Proprietary," 16,185 "," 16,246 "," $65,441,610.00 "," 17,561 "," $35,847,413.00 "," 16,905 "," 17,918 "," $95,373,000.00 "," 19,478 "," $52,202,882.00 "," 13,029 "," 13,200 "," $164,477,963.00 "," 15,364 "," $98,901,393.00 ", 549 , 561 ," $4,727,398.00 ", 590 ," $2,490,442.00 ", 129 , 129 ," $1,344,177.00 ", 164 ," $878,899.00 "
00107600, GLENDALE COMMUNITY COLLEGE                                             , AZ ,853023090,Public," 3,457 "," 3,481 "," $10,560,374.00 "," 3,528 "," $6,295,020.00 ", 810 , 835 ," $3,521,308.00 ", 873 ," $2,088,426.00 ", -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   
00107700, MESA COMMUNITY COLLEGE                                                 , AZ ,852024866,Public," 4,691 "," 4,694 "," $14,068,604.00 "," 4,673 "," $8,465,057.00 "," 1,718 "," 1,734 "," $6,481,381.00 "," 1,748 "," $3,899,969.00 ", -   , -   , $-   , -   , $-   , 16 , 16 ," $157,336.00 ", 16 ," $82,974.00 ", -   , -   , $-   , -   , $-   
00107800, PHOENIX COLLEGE                                                        , AZ ,850134234,Public," 3,098 "," 3,114 "," $9,190,530.00 "," 3,141 "," $5,641,800.00 "," 2,595 "," 2,619 "," $10,873,376.00 "," 2,637 "," $6,646,090.00 ", -   , -   , $-   , -   , $-   , 4 , 4 ," $19,579.00 ", 4 ," $12,964.00 ", -   , -   , $-   , -   , $-   
00107900, YAVAPAI COLLEGE                                                        , AZ ,863013297,Public," 1,168 "," 1,433 "," $3,766,948.00 "," 1,448 "," $2,107,523.00 ", 669 , 721 ," $2,595,369.00 ", 730 ," $1,430,790.00 ", -   , -   , $-   , -   , $-   , 5 , 5 ," $74,854.00 ", 6 ," $57,141.00 ", -   , -   , $-   , -   , $-   
00108100, ARIZONA STATE UNIVERSITY                                               , AZ ,852870412,Public," 26,172 "," 26,798 "," $116,289,734.00 "," 26,453 "," $58,881,948.00 "," 25,010 "," 27,358 "," $126,341,675.00 "," 26,936 "," $63,636,367.00 "," 5,145 "," 5,494 "," $90,466,757.00 "," 5,431 "," $46,266,545.00 "," 4,440 "," 4,692 "," $79,625,815.00 "," 4,692 "," $40,577,399.00 "," 2,287 "," 2,470 "," $34,069,179.00 "," 2,471 "," $17,491,853.00 "
00108200, NORTHERN ARIZONA UNIVERSITY                                            , AZ ,860110001,Public," 9,483 "," 9,502 "," $39,805,137.00 "," 9,569 "," $20,448,287.00 "," 9,555 "," 10,685 "," $43,452,321.00 "," 10,644 "," $22,434,277.00 "," 1,640 "," 1,655 "," $26,228,618.00 "," 1,646 "," $13,482,709.00 "," 2,239 "," 2,315 "," $30,369,288.00 "," 2,326 "," $15,658,911.00 ", 67 , 70 ," $525,532.00 ", 70 ," $282,844.00 "
00108300, UNIVERSITY OF ARIZONA (THE)                                            , AZ ,857210066,Public," 10,256 "," 10,597 "," $43,511,492.00 "," 10,350 "," $22,267,153.00 "," 9,335 "," 10,321 "," $39,094,845.00 "," 10,042 "," $20,024,199.00 "," 2,865 "," 3,229 "," $58,414,610.00 "," 3,159 "," $30,572,742.00 "," 2,381 "," 2,612 "," $46,244,703.00 "," 2,612 "," $23,716,173.00 ", 600 , 723 ," $9,268,694.00 ", 723 ," $5,011,365.00 "
00108500, UNIVERSITY OF ARKANSAS AT MONTICELLO                                   , AR ,716560000,Public," 1,518 "," 1,527 "," $5,074,120.00 "," 1,680 "," $3,021,139.00 "," 1,327 "," 1,368 "," $5,221,079.00 "," 1,464 "," $3,007,078.00 ", 80 , 80 ," $810,888.00 ", 85 ," $439,442.00 ", 22 , 22 ," $121,570.00 ", 25 ," $70,641.00 ", -   , -   , $-   , -   , $-   
00108600, UNIVERSITY OF ARKANSAS AT PINE BLUFF                                   , AR ,716012790,Public," 1,484 "," 1,494 "," $5,720,741.00 "," 1,509 "," $3,005,486.00 "," 1,459 "," 1,880 "," $5,504,406.00 "," 1,903 "," $2,908,893.00 ", 35 , 38 ," $294,447.00 ", 39 ," $163,280.00 ", 112 , 119 ," $838,453.00 ", 135 ," $466,233.00 ", -   , -   , $-   , -   , $-   
00108700, ARKANSAS BAPTIST COLLEGE                                               , AR ,722026099,Private-Nonprofit, 738 , 738 ," $2,851,455.00 ", 740 ," $1,432,479.00 ", 755 , 755 ," $3,529,893.00 ", 758 ," $1,751,241.00 ", 2 , 2 ," $14,000.00 ", 2 ," $7,000.00 ", 3 , 3 ," $24,560.00 ", 3 ," $12,030.00 ", -   , -   , $-   , -   , $-   
00108800, LYON COLLEGE                                                           , AR ,725013699,Private-Nonprofit, 296 , 296 ," $1,217,879.00 ", 296 ," $619,951.00 ", 338 , 338 ," $1,275,324.00 ", 338 ," $645,461.00 ", -   , -   , $-   , -   , $-   , 36 , 36 ," $314,476.00 ", 36 ," $160,838.00 ", -   , -   , $-   , -   , $-   
00108900, ARKANSAS TECH UNIVERSITY                                               , AR ,728012222,Public," 3,801 "," 3,948 "," $14,476,058.00 "," 4,191 "," $7,805,437.00 "," 3,179 "," 3,714 "," $12,279,434.00 "," 3,947 "," $6,673,641.00 ", 376 , 416 ," $4,495,291.00 ", 453 ," $2,401,596.00 ", 129 , 147 ," $730,764.00 ", 170 ," $424,557.00 ", 2 , 2 ," $8,600.00 ", 2 ," $4,300.00 "
00109000, ARKANSAS STATE UNIVERSITY                                              , AR ,724010000,Public," 4,933 "," 4,951 "," $19,934,466.00 "," 4,951 "," $10,635,507.00 "," 4,633 "," 4,868 "," $21,108,263.00 "," 4,867 "," $11,211,688.00 "," 2,140 "," 2,149 "," $20,890,705.00 "," 2,147 "," $11,089,245.00 ", 198 , 210 ," $1,768,529.00 ", 210 ," $955,132.00 ", 86 , 87 ," $1,272,874.00 ", 87 ," $651,965.00 "
00109100, ARKANSAS STATE UNIVERSITY - BEEBE                                      , AR ,720121000,Public, 394 , 394 ," $1,275,940.00 ", 784 ," $692,166.00 ", 292 , 292 ," $1,183,656.00 ", 583 ," $630,414.00 ", -   , -   , $-   , -   , $-   , 2 , 2 ," $6,100.00 ", 4 ," $3,050.00 ", -   , -   , $-   , -   , $-   
00109200, UNIVERSITY OF CENTRAL ARKANSAS                                         , AR ,720350001,Public," 3,729 "," 3,860 "," $13,879,063.00 "," 3,860 "," $7,493,199.00 "," 3,902 "," 4,506 "," $16,794,669.00 "," 4,506 "," $9,157,475.00 ", 843 , 953 ," $9,858,601.00 ", 953 ," $5,310,599.00 ", 495 , 521 ," $3,638,597.00 ", 521 ," $1,990,009.00 ", 31 , 34 ," $36,065.00 ", 34 ," $20,632.00 "
00109300, CENTRAL BAPTIST COLLEGE                                                , AR ,720346470,Private-Nonprofit, 407 , 407 ," $1,643,208.00 ", 421 ," $849,266.00 ", 396 , 396 ," $1,992,473.00 ", 418 ," $1,029,223.00 ", -   , -   , $-   , -   , $-   , 45 , 45 ," $380,159.00 ", 48 ," $207,353.00 ", -   , -   , $-   , -   , $-   
00109400, UNIVERSITY OF THE OZARKS                                               , AR ,728302880,Private-Nonprofit, 238 , 239 ," $955,227.00 ", 271 ," $511,994.00 ", 240 , 259 ," $811,758.00 ", 292 ," $435,712.00 ", -   , -   , $-   , -   , $-   , 22 , 24 ," $316,188.00 ", 29 ," $166,815.00 ", -   , -   , $-   , -   , $-   
00109500, CROWLEY'S RIDGE COLLEGE                                                , AR ,724509775,Private-Nonprofit, 87 , 87 ," $294,955.00 ", 87 ," $162,974.00 ", 89 , 89 ," $322,908.00 ", 89 ," $175,759.00 ", -   , -   , $-   , -   , $-   , 18 , 18 ," $95,513.00 ", 18 ," $54,207.00 ", -   , -   , $-   , -   , $-   
00109700, HARDING UNIVERSITY                                                     , AR ,721490001,Private-Nonprofit," 1,789 "," 1,790 "," $7,326,273.00 "," 1,787 "," $4,048,340.00 "," 2,080 "," 2,160 "," $8,274,469.00 "," 2,154 "," $4,612,594.00 ", 764 , 767 ," $13,018,298.00 ", 766 ," $8,208,269.00 ", 405 , 446 ," $5,406,381.00 ", 445 ," $3,017,243.00 ", 245 , 267 ," $3,703,691.00 ", 264 ," $2,010,133.00 "
00109800, HENDERSON STATE UNIVERSITY                                             , AR ,719990001,Public," 1,490 "," 1,506 "," $5,709,875.00 "," 1,568 "," $3,132,601.00 "," 1,406 "," 1,460 "," $5,620,197.00 "," 1,602 "," $3,108,462.00 ", 234 , 241 ," $3,395,425.00 ", 253 ," $1,866,325.00 ", 58 , 60 ," $408,297.00 ", 72 ," $224,476.00 ", -   , -   , $-   , -   , $-   
00109900, HENDRIX COLLEGE                                                        , AR ,720323080,Private-Nonprofit, 442 , 443 ," $1,854,893.00 ", 443 ," $951,334.00 ", 561 , 607 ," $2,123,527.00 ", 607 ," $1,090,278.00 ", 4 , 4 ," $50,634.00 ", 4 ," $26,592.00 ", 133 , 138 ," $2,230,792.00 ", 138 ," $1,164,234.00 ", 1 , 2 ," $10,774.00 ", 2 ," $5,387.00 "
00110000, JOHN BROWN UNIVERSITY                                                  , AR ,727612747,Private-Nonprofit, 874 , 874 ," $3,782,358.00 ", 874 ," $1,994,948.00 ", 878 , 878 ," $3,728,611.00 ", 878 ," $1,989,517.00 ", 318 , 318 ," $4,671,885.00 ", 338 ," $1,926,515.00 ", 160 , 162 ," $1,522,480.00 ", 162 ," $797,014.00 ", 3 , 3 ," $47,683.00 ", 3 ," $18,061.00 "
00110100, UNIVERSITY OF ARKANSAS AT LITTLE ROCK                                  , AR ,722041099,Public," 3,896 "," 3,962 "," $14,955,331.00 "," 3,964 "," $8,240,985.00 "," 3,359 "," 3,727 "," $15,176,051.00 "," 3,738 "," $8,530,915.00 "," 1,102 "," 1,156 "," $17,363,886.00 "," 1,158 "," $9,404,712.00 ", 149 , 163 ," $1,540,079.00 ", 168 ," $827,095.00 ", 260 , 275 ," $1,523,738.00 ", 276 ," $801,747.00 "
00110200, OUACHITA BAPTIST UNIVERSITY                                            , AR ,719980001,Private-Nonprofit, 476 , 479 ," $1,963,367.00 ", 493 ," $1,028,260.00 ", 622 , 663 ," $2,466,475.00 ", 680 ," $1,277,162.00 ", -   , -   , $-   , -   , $-   , 106 , 112 ," $1,361,223.00 ", 121 ," $731,653.00 ", -   , -   , $-   , -   , $-   
00110300, PHILANDER SMITH COLLEGE                                                , AR ,722023718,Private-Nonprofit, 403 , 405 ," $1,733,295.00 ", 411 ," $889,248.00 ", 394 , 401 ," $2,161,052.00 ", 410 ," $1,124,582.00 ", -   , -   , $-   , -   , $-   , 38 , 39 ," $380,316.00 ", 40 ," $197,181.00 ", -   , -   , $-   , -   , $-   
